AIR ID,Risk,NIST AI RMF,OWASP LLM Top 10 (2025),EU AI Act,ISO/IEC 42001 (Annex A),MITRE ATLAS
AIR21,Lack of Explainability / Provenance opacity,MEASURE (Explainable & Interpretable; Accountable & Transparent),—,Art 13 (transparency); Art 50 (AI/deepfake disclosure),A.8.2 (system documentation); A.5.3 (documentation),—
AIR22,No Accountability,GOVERN (Accountable & Transparent),—,Art 9 (risk management); Art 26 (deployer obligations),A.3 (roles & responsibilities); A.10.2 (allocating responsibilities),—
AIR23,Unclear Model Ownership/IP,GOVERN (Accountable & Transparent),—,Art 53 (GPAI copyright policy),A.10.4 (customers); A.2 (AI policy),AML.T0048.004 AI Intellectual Property Theft
AIR24,Output Integrity Tampering,MANAGE (Secure & Resilient),LLM05:2025 Improper Output Handling,Art 15 (cybersecurity),A.6.2.6 (operation & monitoring); A.6.2.8 (event logs),AML.T0031 Erode AI Model Integrity
AIR25,System Prompt / Instruction Leakage,MEASURE (Secure & Resilient),LLM07:2025 System Prompt Leakage,Art 15 (cybersecurity),A.6.2.6 (operation & monitoring),AML.T0056 Extract LLM System Prompt
AIR26,RAG / Vector Store Vulnerabilities,MEASURE (Secure & Resilient; Privacy-Enhanced),LLM08:2025 Vector and Embedding Weaknesses,Art 10 (data governance); Art 15 (cybersecurity),A.7.2 (data management),AML.T0070 RAG Poisoning
AIR27,Unbounded Consumption,MANAGE (Secure & Resilient),LLM10:2025 Unbounded Consumption,Art 15 (robustness),A.6.2.6 (operation & monitoring),AML.T0029 Denial of AI Service; AML.T0034 Cost Harvesting
AIR28,Malicious Use / Out-of-Scope Exploitation,MAP/MANAGE (Safe),LLM09:2025 Misinformation,Art 5 (prohibited practices); Art 50 (deepfake disclosure),A.9.4 (intended use); A.5.2 (impact assessment),AML.T0048 External Harms; AML.T0088 Generate Deepfakes
AIR29,Multi-Agent & Agentic AI Risks,MAP/MANAGE (Secure & Resilient; Safe),LLM06:2025 Excessive Agency,Art 14 (human oversight); Art 15 (robustness),A.6.2.3 (design & development); A.9.2 (responsible use),AML.T0053 AI Agent Tool Invocation; AML.T0051 LLM Prompt Injection
AIR30,Environmental / Sustainability Impact,MAP (Accountable & Transparent),—,Art 40 (harmonised standards); Art 95 (codes of conduct),A.4.4 (system & computing resources); A.5.4 (societal impacts),—
